delivery_id,customer_name,postcode,quality,latitude,longitude,demand,priority,cluster
D073,Zara Evans,CV5 8AW,1,52.408077,-1.555355,4,standard,6
D074,Yasmin Ali,CV6 7AY,1,52.445122,-1.481362,1,standard,6
D075,Ethan Smith,B1 2JP,1,52.476707,-1.910332,4,standard,9
D076,Simran Sharma,B2 5TB,1,52.479738,-1.901669,4,standard,9
D077,Zara Rahman,B3 1RW,1,52.486161,-1.905881,5,express,9
D078,Liam Taylor,B4 7WR,1,52.495968,-1.894209,3,standard,9
D079,Emily Morris,B5 5PG,1,52.478649,-1.889583,5,standard,9
D080,Chloe Davis,B6 6AU,1,52.505814,-1.896719,1,standard,9
D081,George Evans,B7 5PD,1,52.501745,-1.864482,5,standard,9
D082,Emily Walker,B8 2HJ,1,52.493164,-1.832665,1,standard,9
D083,Mohammed Clarke,B9 4XE,1,52.479391,-1.852978,1,standard,9
D084,Ethan Williams,B10 9AH,1,52.47149,-1.853651,5,standard,9
D085,George Clarke,B11 1PR,1,52.460553,-1.864387,1,standard,9
D086,Zara Hussain,B12 9LB,1,52.458309,-1.89474,5,standard,9
D087,Simran Wilson,B1 2SG,1,52.474583,-1.907966,2,standard,9
D088,Fatima Wilson,B2 2SZ,1,52.480594,-1.903183,4,standard,9
D089,Aisha Begum,B3 1EH,1,52.484533,-1.904794,3,express,9
D090,Aiden Kowalski,B4 6DR,1,52.483868,-1.89549,1,standard,9
D091,Lucas Clarke,B5 7BP,1,52.466341,-1.898872,5,standard,9
D092,Mohammed Hill,B6 4UX,1,52.498476,-1.89407,2,standard,9
D093,Liam Kowalski,B7 5AU,1,52.503721,-1.841346,3,standard,9
D094,Tyler Ahmed,B8 1SA,1,52.491117,-1.854942,3,standard,9
D095,Priya Roberts,B9 5UY,1,52.483682,-1.822216,5,standard,9
D096,Mia Sharma,B10 0HA,1,52.464457,-1.851157,5,standard,9
D097,Aisha Iqbal,B11 3ER,1,52.446282,-1.846348,5,standard,3
D098,Simran Hussain,B12 8AS,1,52.45284,-1.873519,1,standard,9
D099,Noah Williams,B90 9NQ,1,52.408091,-1.825723,1,standard,3
D100,Noah Johnson,B91 2JD,1,52.430881,-1.782569,5,standard,3
D101,Daniel Davis,B92 0JF,1,52.417612,-1.730231,2,standard,3
D102,Harry Evans,B73 5JQ,1,52.54079,-1.830477,3,standard,0
D103,Mohammed Begum,B74 2SE,1,52.575819,-1.833648,4,standard,0
D104,Emily Smith,B75 7RF,1,52.564498,-1.791956,3,standard,0
D105,Ravi Wilson,LE1 9PQ,1,52.61293,-1.194904,2,express,10
D106,Sophia Rahman,LE2 2HP,1,52.612088,-1.079146,4,standard,1
D107,Sarah Khan,LE3 6LW,1,52.643102,-1.185824,2,standard,8
D108,Leon Singh,LE4 6FG,1,52.648602,-1.116574,5,standard,8
D109,Zara Brown,LE5 2AE,1,52.639621,-1.075287,1,standard,1
D110,Amelia Osei,LE1 3RF,1,52.637874,-1.128258,1,standard,8
D111,Oliver Hussain,LE2 4FP,1,52.607407,-1.072672,2,standard,1
D112,Amelia Shah,LE3 1DS,1,52.624155,-1.18907,5,express,8
D113,Mia Kaur,LE4 5AU,1,52.650104,-1.122738,2,standard,8
D114,Yasmin Jones,LE5 0PJ,1,52.643965,-1.094217,2,express,1
D115,James Jones,LE1 4BL,1,52.639845,-1.139642,3,express,8
D116,Nadia Hussain,LE2 4TZ,1,52.586925,-1.062063,2,standard,1
D117,Priya Sharma,LE3 8PF,1,52.652158,-1.198191,1,express,8
D118,Yasmin Patel,LE4 0LT,1,52.658527,-1.162384,4,standard,8
D119,Oliver Iqbal,LE5 6NF,1,52.627554,-1.054532,4,standard,1
D120,Charlotte Iqbal,LE6 0DR,1,52.662746,-1.222083,2,standard,2
